iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.538035 , 0.810566 , 
2 , 3.05 , 33.3827 , 0.207502 , 10 , 2.96301 , 0.337022 , 10 , 0.341557 , 0.609289 , 0.932073 , 
3 , 5.28 , 1.05037 , 0.338189 , 10 , 0.0587807 , 0.338223 , 10 , 0.0124337 , 0.643674 , 0.902834 , 
4 , 7.49 , 0.374976 , 0.338225 , 10 , 0.00295338 , 0.338225 , 10 , 0.000721682 , 0.650076 , 0.888402 , 
5 , 9.83 , 0.340518 , 0.338225 , 10 , 0.000182667 , 0.338225 , 10 , 4.66029e-05 , 0.647795 , 0.874935 , 
6 , 12.05 , 0.338377 , 0.338225 , 10 , 1.20673e-05 , 0.338225 , 10 , 3.1138e-06 , 0.642478 , 0.868848 , 
7 , 14.29 , 0.338235 , 0.338225 , 10 , 8.12834e-07 , 0.338225 , 10 , 2.10958e-07 , 0.644258 , 0.865411 , 
8 , 16.45 , 0.338226 , 0.338225 , 10 , 5.55168e-08 , 0.338225 , 10 , 1.48019e-08 , 0.64544 , 0.8609 , 
9 , 18.66 , 0.338225 , 0.338225 , 10 , 4.40219e-09 , 0.338225 , 10 , 1.34332e-09 , 0.644353 , 0.860453 , 
10 , 20.9 , 0.338225 , 0.338225 , 10 , 4.0669e-10 , 0.338225 , 10 , 1.23246e-10 , 0.639646 , 0.859386 , 
11 , 23.05 , 0.338225 , 0.338225 , 10 , 3.73672e-11 , 0.338225 , 10 , 1.13332e-11 , 0.636395 , 0.859449 , 
12 , 25.19 , 0.338225 , 0.338225 , 10 , 3.4381e-12 , 0.338225 , 10 , 1.04319e-12 , 0.636545 , 0.858823 , 
13 , 27.34 , 0.338225 , 0.338225 , 10 , 3.16565e-13 , 0.338225 , 10 , 9.60742e-14 , 0.636324 , 0.858593 , 
14 , 29.5 , 0.338225 , 0.338225 , 10 , 2.91596e-14 , 0.338225 , 10 , 8.85077e-15 , 0.636373 , 0.858312 , 
15 , 31.6 , 0.338225 , 0.338225 , 10 , 2.68656e-15 , 0.338225 , 10 , 8.15506e-16 , 0.636202 , 0.858265 , 
16 , 33.83 , 0.338225 , 0.338225 , 10 , 2.47552e-16 , 0.338225 , 10 , 7.51473e-17 , 0.63578 , 0.858438 , 
17 , 36.11 , 0.338225 , 0.338225 , 10 , 2.28121e-17 , 0.338225 , 10 , 6.92504e-18 , 0.635782 , 0.858435 , 
18 , 38.23 , 0.338225 , 0.338225 , 10 , 2.10224e-18 , 0.338225 , 10 , 6.3818e-19 , 0.635751 , 0.858407 , 
19 , 40.45 , 0.338225 , 0.338225 , 10 , 1.93735e-19 , 0.338225 , 10 , 5.88128e-20 , 0.635755 , 0.858367 , 
20 , 42.6 , 0.338225 , 0.338225 , 10 , 1.78541e-20 , 0.338225 , 10 , 5.42006e-21 , 0.635976 , 0.858639 , 
21 , 44.89 , 0.338225 , 0.338225 , 10 , 1.6454e-21 , 0.338225 , 10 , 4.99504e-22 , 0.635968 , 0.85861 , 
22 , 47.19 , 0.338225 , 0.338225 , 10 , 1.51638e-22 , 0.338225 , 10 , 4.60336e-23 , 0.635968 , 0.858607 , 
23 , 49.23 , 0.338225 , 0.338225 , 10 , 1.39747e-23 , 0.338225 , 10 , 4.2424e-24 , 0.635968 , 0.858607 , 
24 , 51.35 , 0.338225 , 0.338225 , 10 , 1.2879e-24 , 0.338225 , 10 , 3.90975e-25 , 0.635968 , 0.858607 , 
25 , 53.57 , 0.338225 , 0.338225 , 10 , 1.18691e-25 , 0.338225 , 10 , 3.60319e-26 , 0.635968 , 0.858601 , 
26 , 55.82 , 0.338225 , 0.338225 , 10 , 1.09384e-26 , 0.338225 , 10 , 3.32066e-27 , 0.635968 , 0.858601 , 
27 , 58.12 , 0.338225 , 0.338225 , 10 , 1.00808e-27 , 0.338225 , 10 , 3.06028e-28 , 0.635968 , 0.858594 , 
28 , 60.23 , 0.338225 , 0.338225 , 10 , 9.29032e-29 , 0.338225 , 10 , 2.82033e-29 , 0.635968 , 0.858594 , 
29 , 62.2 , 0.338225 , 0.338225 , 10 , 8.56186e-30 , 0.338225 , 10 , 2.59918e-30 , 0.635968 , 0.858594 , 
30 , 64.22 , 0.338225 , 0.338225 , 10 , 7.89052e-31 , 0.338225 , 10 , 2.39538e-31 , 0.635968 , 0.858594 , 
31 , 66.52 , 0.338225 , 0.338225 , 10 , 7.27183e-32 , 0.338225 , 10 , 2.20756e-32 , 0.635968 , 0.858594 , 
32 , 68.83 , 0.338225 , 0.338225 , 10 , 6.70164e-33 , 0.338225 , 10 , 2.03446e-33 , 0.635968 , 0.858594 , 
