iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.519376 , 0.604728 , 
2 , 17.3 , 944.039 , 1.75711 , 10 , 41.7752 , 3.17685 , 10 , 52.311 , 0.566448 , 1 , 
3 , 33.03 , 895.363 , 2.03466 , 10 , 39.2597 , 2.04079 , 10 , 50.0725 , 0.590506 , 0.999851 , 
4 , 49.22 , 879.159 , 1.82754 , 10 , 38.5041 , 1.89485 , 10 , 49.2223 , 0.600514 , 0.999754 , 
5 , 64.75 , 870.245 , 1.7381 , 10 , 38.1287 , 1.90136 , 10 , 48.7057 , 0.609509 , 0.999868 , 
6 , 80.23 , 864.681 , 1.68913 , 10 , 37.9181 , 1.80963 , 10 , 48.3691 , 0.616173 , 0.999807 , 
7 , 96.3 , 861.436 , 1.65907 , 10 , 37.7963 , 1.69609 , 10 , 48.1778 , 0.619815 , 0.999965 , 
8 , 111.16 , 857.636 , 1.70096 , 10 , 37.6929 , 1.81869 , 10 , 47.8888 , 0.623312 , 0.999989 , 
9 , 122.26 , 855.757 , 1.63465 , 10 , 37.6836 , 2.11068 , 10 , 47.681 , 0.626139 , 0.999843 , 
10 , 133.92 , 854.584 , 1.63701 , 10 , 37.6915 , 1.92894 , 10 , 47.5739 , 0.626957 , 0.999973 , 
11 , 144.66 , 853.647 , 1.62528 , 10 , 37.6412 , 1.86473 , 10 , 47.537 , 0.626773 , 0.999878 , 
12 , 155.6 , 852.285 , 1.60865 , 10 , 37.6029 , 1.85642 , 10 , 47.44 , 0.627234 , 0.9998 , 
13 , 165.87 , 849.339 , 1.62117 , 10 , 37.584 , 2.33214 , 10 , 47.1167 , 0.626253 , 0.999958 , 
14 , 177.03 , 848.667 , 1.61192 , 10 , 37.7974 , 2.23242 , 10 , 46.846 , 0.625463 , 0.999642 , 
15 , 187.61 , 847.812 , 1.6188 , 10 , 37.976 , 2.39539 , 10 , 46.5657 , 0.627804 , 0.999615 , 
16 , 198.25 , 846.913 , 1.61073 , 10 , 38.2068 , 2.30998 , 10 , 46.2535 , 0.628017 , 0.999629 , 
17 , 209.37 , 849.769 , 1.6178 , 10 , 38.4025 , 1.79993 , 10 , 46.3944 , 0.627905 , 0.99988 , 
18 , 220.35 , 847.759 , 1.60904 , 10 , 38.2738 , 1.87213 , 10 , 46.3148 , 0.628313 , 0.999939 , 
19 , 231.33 , 848.887 , 1.61132 , 10 , 38.3024 , 1.77705 , 10 , 46.4086 , 0.628349 , 0.999682 , 
20 , 242.82 , 847.058 , 1.62057 , 10 , 38.2244 , 1.84956 , 10 , 46.2965 , 0.630062 , 0.999702 , 
21 , 254.45 , 847.367 , 1.63991 , 10 , 38.2588 , 1.79729 , 10 , 46.2982 , 0.628979 , 0.999528 , 
22 , 265.57 , 846.008 , 1.6257 , 10 , 38.2648 , 2.08258 , 10 , 46.1277 , 0.628933 , 0.99984 , 
23 , 276.43 , 847.573 , 1.60178 , 10 , 38.3828 , 2.06143 , 10 , 46.1684 , 0.629391 , 0.999855 , 
24 , 287.55 , 847.037 , 1.5915 , 10 , 38.3894 , 1.81796 , 10 , 46.1325 , 0.629053 , 0.999768 , 
25 , 298.02 , 845.583 , 1.61409 , 10 , 38.382 , 2.17644 , 10 , 45.9587 , 0.627415 , 0.999716 , 
26 , 308.74 , 845.067 , 1.5955 , 10 , 38.5119 , 2.29202 , 10 , 45.7656 , 0.625441 , 0.999926 , 
27 , 319.26 , 845.743 , 1.5943 , 10 , 38.7 , 2.06302 , 10 , 45.6679 , 0.626147 , 0.999865 , 
28 , 330.06 , 846.153 , 1.59259 , 10 , 38.7616 , 1.87016 , 10 , 45.6667 , 0.625411 , 0.999627 , 
29 , 341.34 , 845.557 , 1.60802 , 10 , 38.7496 , 1.84998 , 10 , 45.621 , 0.627226 , 0.999617 , 
30 , 352.44 , 847.196 , 1.61138 , 10 , 38.7972 , 1.80472 , 10 , 45.7419 , 0.628045 , 0.999999 , 
31 , 365.3 , 846.445 , 1.63633 , 10 , 38.6869 , 1.62628 , 10 , 45.795 , 0.627773 , 0.999941 , 
32 , 380.2 , 845.999 , 1.71983 , 10 , 38.6258 , 1.60243 , 10 , 45.8139 , 0.62625 , 0.999818 , 
