iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.498949 , 0.490401 , 
2 , 15.62 , 1435.28 , 13.5278 , 10 , 37.7228 , 51.5091 , 10 , 100.654 , 0.650485 , 0.922924 , 
3 , 28.57 , 1361.83 , 18.3306 , 10 , 45.2369 , 25.4062 , 10 , 88.4059 , 0.680756 , 0.953248 , 
4 , 45.95 , 1313.33 , 14.4677 , 10 , 48.0263 , 20.7962 , 10 , 81.2266 , 0.692991 , 0.960303 , 
5 , 66.17 , 1262.79 , 13.7384 , 10 , 48.4833 , 16.6063 , 10 , 76.1355 , 0.703503 , 0.966997 , 
6 , 86.03 , 1229.4 , 13.1307 , 10 , 48.7726 , 15.5896 , 10 , 72.608 , 0.718869 , 0.975504 , 
7 , 104.66 , 1211.36 , 12.7806 , 10 , 49.2035 , 21.709 , 10 , 69.7619 , 0.721532 , 0.975656 , 
8 , 123.87 , 1193.38 , 12.8973 , 10 , 50.1619 , 16.21 , 10 , 67.5551 , 0.721269 , 0.976984 , 
9 , 141.7 , 1180.98 , 12.957 , 10 , 50.7512 , 14.0743 , 10 , 65.9394 , 0.724515 , 0.974847 , 
10 , 160.11 , 1172.56 , 12.9183 , 10 , 51.452 , 14.6346 , 10 , 64.3405 , 0.723987 , 0.978474 , 
11 , 180.56 , 1166.44 , 12.8561 , 10 , 52.2528 , 13.9824 , 10 , 62.9928 , 0.721194 , 0.975687 , 
12 , 197.47 , 1163.01 , 12.834 , 10 , 53.1261 , 13.812 , 10 , 61.7936 , 0.717144 , 0.97695 , 
13 , 213.54 , 1160.73 , 12.6515 , 10 , 53.96 , 13.3885 , 10 , 60.7745 , 0.727441 , 0.978251 , 
14 , 233.83 , 1157.71 , 12.465 , 10 , 54.8713 , 13.6712 , 10 , 59.5324 , 0.724614 , 0.969276 , 
15 , 248.03 , 1159.6 , 12.8294 , 10 , 55.6954 , 16.1193 , 10 , 58.6532 , 0.721947 , 0.9767 , 
16 , 262.14 , 1158.85 , 12.6026 , 10 , 56.558 , 13.5744 , 10 , 57.9699 , 0.717087 , 0.961289 , 
17 , 286.95 , 1166.28 , 14.1281 , 10 , 57.2203 , 15.322 , 10 , 57.876 , 0.720739 , 0.972049 , 
18 , 301.62 , 1160.98 , 13.2118 , 10 , 57.1968 , 13.2171 , 10 , 57.58 , 0.719018 , 0.975301 , 
19 , 320.84 , 1161.72 , 13.4603 , 10 , 57.775 , 13.5854 , 10 , 57.038 , 0.711117 , 0.973612 , 
20 , 341.41 , 1163.54 , 13.1624 , 10 , 58.3612 , 12.9948 , 10 , 56.6931 , 0.714424 , 0.976872 , 
21 , 355.36 , 1163.8 , 13.6091 , 10 , 58.5886 , 13.3127 , 10 , 56.4606 , 0.719217 , 0.97577 , 
22 , 369.95 , 1163.87 , 13.4549 , 10 , 58.7924 , 13.1679 , 10 , 56.2774 , 0.72036 , 0.974679 , 
23 , 388.11 , 1165.49 , 13.475 , 10 , 58.9957 , 13.041 , 10 , 56.2494 , 0.723758 , 0.974577 , 
24 , 404.79 , 1165.03 , 13.8961 , 10 , 58.4681 , 13.087 , 10 , 56.7259 , 0.722216 , 0.974098 , 
25 , 424.88 , 1162.63 , 13.8054 , 10 , 57.9345 , 12.9959 , 10 , 57.0287 , 0.720465 , 0.977008 , 
26 , 439.45 , 1166.64 , 14.2005 , 10 , 57.6044 , 15.9532 , 10 , 57.4646 , 0.718099 , 0.975512 , 
27 , 455.45 , 1161.29 , 13.6331 , 10 , 57.4844 , 13.3143 , 10 , 57.3131 , 0.716285 , 0.9782 , 
28 , 470.69 , 1161.49 , 13.3565 , 10 , 57.8417 , 13.6832 , 10 , 56.939 , 0.71664 , 0.977405 , 
29 , 489.41 , 1164.62 , 13.4651 , 10 , 58.1254 , 14.8871 , 10 , 56.8477 , 0.720321 , 0.969904 , 
30 , 504.57 , 1163.81 , 13.3593 , 10 , 58.3435 , 13.4287 , 10 , 56.6944 , 0.717925 , 0.969491 , 
31 , 521.74 , 1166.04 , 13.4304 , 10 , 58.2581 , 13.2442 , 10 , 57.0216 , 0.717621 , 0.968502 , 
32 , 538.35 , 1163.81 , 13.7269 , 10 , 57.5407 , 12.6592 , 10 , 57.5742 , 0.720169 , 0.9787 , 
