iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.533168 , 0.825836 , 
2 , 2040.57 , 1021.79 , 0.214305 , 10 , 58.8477 , 0.270133 , 10 , 43.3043 , 0.551017 , 0.930445 , 
3 , 3493.18 , 872.473 , 0.271709 , 10 , 43.9527 , 0.269993 , 10 , 43.2676 , 0.576827 , 0.893371 , 
4 , 4937.49 , 795.884 , 0.270538 , 10 , 40.6983 , 0.273938 , 10 , 38.8626 , 0.592272 , 0.877122 , 
5 , 6372.34 , 864.945 , 0.269673 , 10 , 42.8057 , 0.266136 , 10 , 43.6623 , 0.605471 , 0.869042 , 
6 , 7821.87 , 801.935 , 0.265891 , 10 , 41.0093 , 0.270747 , 10 , 39.1571 , 0.595016 , 0.867958 , 
7 , 9245.81 , 859.785 , 0.268641 , 10 , 42.2126 , 0.267295 , 10 , 43.7392 , 0.61177 , 0.864984 , 
8 , 10685.7 , 804.181 , 0.266636 , 10 , 40.6668 , 0.272253 , 10 , 39.724 , 0.59656 , 0.864988 , 
9 , 12225.6 , 826.465 , 0.270427 , 10 , 41.223 , 0.268104 , 10 , 41.3967 , 0.612276 , 0.865285 , 
10 , 13660 , 808.522 , 0.267116 , 10 , 41.0841 , 0.271284 , 10 , 39.7409 , 0.613107 , 0.863157 , 
11 , 15093.7 , 849.331 , 0.269732 , 10 , 41.1368 , 0.270836 , 10 , 43.7692 , 0.611409 , 0.864632 , 
12 , 16647.9 , 801.99 , 0.26931 , 10 , 40.0305 , 0.270374 , 10 , 40.1414 , 0.612957 , 0.866 , 
13 , 18081.3 , 818.552 , 0.267664 , 10 , 41.5259 , 0.270309 , 10 , 40.3022 , 0.614239 , 0.863821 , 
14 , 19517.7 , 836.879 , 0.26896 , 10 , 41.027 , 0.271189 , 10 , 42.6338 , 0.610139 , 0.863109 , 
15 , 20961.8 , 808.775 , 0.268713 , 10 , 40.426 , 0.273994 , 10 , 40.4241 , 0.612949 , 0.862723 , 
16 , 22507.5 , 807 , 0.27168 , 10 , 40.2528 , 0.270231 , 10 , 40.4202 , 0.613615 , 0.86574 , 
17 , 23943.4 , 820.369 , 0.267877 , 10 , 41.254 , 0.270819 , 10 , 40.7558 , 0.609122 , 0.863113 , 
18 , 25441.4 , 840.894 , 0.26936 , 10 , 40.7628 , 0.271868 , 10 , 43.2994 , 0.611719 , 0.864209 , 
19 , 26978.3 , 804.139 , 0.269769 , 10 , 40.147 , 0.270145 , 10 , 40.2399 , 0.614312 , 0.865864 , 
20 , 28407.5 , 815.988 , 0.267536 , 10 , 41.4174 , 0.269458 , 10 , 40.1544 , 0.610978 , 0.86465 , 
21 , 29848.8 , 835.951 , 0.268379 , 10 , 41.3345 , 0.269782 , 10 , 42.2336 , 0.612802 , 0.863412 , 
22 , 31294.1 , 812.848 , 0.268392 , 10 , 40.6118 , 0.272309 , 10 , 40.6458 , 0.613297 , 0.863599 , 
23 , 32737.2 , 838.128 , 0.270586 , 10 , 40.631 , 0.271762 , 10 , 43.1546 , 0.611504 , 0.863955 , 
24 , 34459.5 , 802.873 , 0.26968 , 10 , 40.0428 , 0.270193 , 10 , 40.2175 , 0.614399 , 0.866502 , 
25 , 35902.4 , 817.602 , 0.267684 , 10 , 41.4315 , 0.270978 , 10 , 40.3016 , 0.600896 , 0.862147 , 
26 , 37341.8 , 840.073 , 0.269186 , 10 , 41.0117 , 0.270869 , 10 , 42.9685 , 0.614105 , 0.864481 , 
27 , 38742.9 , 812.076 , 0.268766 , 10 , 40.3694 , 0.274783 , 10 , 40.8108 , 0.601775 , 0.861554 , 
28 , 40266.1 , 808.615 , 0.271484 , 10 , 40.2258 , 0.270536 , 10 , 40.6086 , 0.609092 , 0.865293 , 
29 , 41662.6 , 818.926 , 0.268292 , 10 , 41.0116 , 0.272429 , 10 , 40.8537 , 0.611876 , 0.862401 , 
30 , 43063.2 , 841.134 , 0.269892 , 10 , 40.6005 , 0.272874 , 10 , 43.4856 , 0.608678 , 0.863812 , 
31 , 44572.7 , 801.459 , 0.269646 , 10 , 40.1543 , 0.270362 , 10 , 39.9646 , 0.612495 , 0.866108 , 
32 , 45964.4 , 820.945 , 0.26782 , 10 , 41.4501 , 0.270027 , 10 , 40.6173 , 0.614703 , 0.864503 , 
