iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.461832 , 0.604809 , 
2 , 3.26 , 32.3734 , 0.518807 , 10 , 2.78923 , 0.727617 , 10 , 0.37535 , 0.575375 , 0.834125 , 
3 , 5.11 , 1.68533 , 0.730164 , 10 , 0.0762255 , 0.730271 , 10 , 0.0192807 , 0.619697 , 0.761652 , 
4 , 6.97 , 0.798499 , 0.730278 , 10 , 0.00529693 , 0.730278 , 10 , 0.00152515 , 0.615836 , 0.730004 , 
5 , 8.82 , 0.736095 , 0.730278 , 10 , 0.000448423 , 0.730278 , 10 , 0.000133242 , 0.617904 , 0.715699 , 
6 , 10.67 , 0.730797 , 0.730278 , 10 , 3.98082e-05 , 0.730278 , 10 , 1.20632e-05 , 0.610918 , 0.713937 , 
7 , 12.52 , 0.730325 , 0.730278 , 10 , 3.62881e-06 , 0.730278 , 10 , 1.10471e-06 , 0.613916 , 0.709704 , 
8 , 14.35 , 0.730283 , 0.730278 , 10 , 3.35747e-07 , 0.730278 , 10 , 1.02146e-07 , 0.612274 , 0.712003 , 
9 , 16.16 , 0.730279 , 0.730278 , 10 , 3.12525e-08 , 0.730278 , 10 , 9.82973e-09 , 0.61392 , 0.710022 , 
10 , 17.99 , 0.730278 , 0.730278 , 10 , 3.1673e-09 , 0.730278 , 10 , 1.02412e-09 , 0.61346 , 0.709209 , 
11 , 19.8 , 0.730278 , 0.730278 , 10 , 3.3075e-10 , 0.730278 , 10 , 1.07192e-10 , 0.614755 , 0.709138 , 
12 , 21.6 , 0.730278 , 0.730278 , 10 , 3.47652e-11 , 0.730278 , 10 , 1.13111e-11 , 0.612056 , 0.708229 , 
13 , 23.42 , 0.730278 , 0.730278 , 10 , 3.65655e-12 , 0.730278 , 10 , 1.18549e-12 , 0.61357 , 0.70738 , 
14 , 25.23 , 0.730278 , 0.730278 , 10 , 3.84339e-13 , 0.730278 , 10 , 1.24929e-13 , 0.613278 , 0.710756 , 
15 , 27.04 , 0.730278 , 0.730278 , 10 , 4.04283e-14 , 0.730278 , 10 , 1.31159e-14 , 0.612177 , 0.709182 , 
16 , 28.85 , 0.730278 , 0.730278 , 10 , 4.25307e-15 , 0.730278 , 10 , 1.38293e-15 , 0.614907 , 0.708808 , 
17 , 30.65 , 0.730278 , 0.730278 , 10 , 4.47991e-16 , 0.730278 , 10 , 1.45527e-16 , 0.612389 , 0.709015 , 
18 , 32.46 , 0.730278 , 0.730278 , 10 , 4.72162e-17 , 0.730278 , 10 , 1.53637e-17 , 0.612989 , 0.708572 , 
19 , 34.27 , 0.730278 , 0.730278 , 10 , 4.97866e-18 , 0.730278 , 10 , 1.61791e-18 , 0.613003 , 0.710008 , 
20 , 36.07 , 0.730278 , 0.730278 , 10 , 5.25147e-19 , 0.730278 , 10 , 1.70945e-19 , 0.613074 , 0.711013 , 
21 , 37.88 , 0.730278 , 0.730278 , 10 , 5.55972e-20 , 0.730278 , 10 , 1.81346e-20 , 0.613092 , 0.709186 , 
22 , 39.69 , 0.730278 , 0.730278 , 10 , 5.88953e-21 , 0.730278 , 10 , 1.91831e-21 , 0.613836 , 0.708432 , 
23 , 41.49 , 0.730278 , 0.730278 , 10 , 6.22121e-22 , 0.730278 , 10 , 2.02353e-22 , 0.612783 , 0.707896 , 
24 , 43.3 , 0.730278 , 0.730278 , 10 , 6.56512e-23 , 0.730278 , 10 , 2.13632e-23 , 0.613347 , 0.709227 , 
25 , 45.1 , 0.730278 , 0.730278 , 10 , 6.93092e-24 , 0.730278 , 10 , 2.2553e-24 , 0.614717 , 0.708988 , 
26 , 46.91 , 0.730278 , 0.730278 , 10 , 7.3156e-25 , 0.730278 , 10 , 2.38042e-25 , 0.612928 , 0.710394 , 
27 , 48.72 , 0.730278 , 0.730278 , 10 , 7.72658e-26 , 0.730278 , 10 , 2.51616e-26 , 0.61391 , 0.710247 , 
28 , 50.52 , 0.730278 , 0.730278 , 10 , 8.16579e-27 , 0.730278 , 10 , 2.65816e-27 , 0.613399 , 0.710766 , 
29 , 52.33 , 0.730278 , 0.730278 , 10 , 8.63502e-28 , 0.730278 , 10 , 2.81337e-28 , 0.613529 , 0.707493 , 
30 , 54.14 , 0.730278 , 0.730278 , 10 , 9.12559e-29 , 0.730278 , 10 , 2.96969e-29 , 0.614139 , 0.710492 , 
31 , 55.96 , 0.730278 , 0.730278 , 10 , 9.64629e-30 , 0.730278 , 10 , 3.14324e-30 , 0.613706 , 0.707902 , 
32 , 57.78 , 0.730278 , 0.730278 , 10 , 1.01996e-30 , 0.730278 , 10 , 3.32085e-31 , 0.612804 , 0.708985 , 
