iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.495859 , 0.498026 , 
2 , 81.76 , 1191.81 , 5.28472 , 10 , 72.0578 , 3.48497 , 10 , 46.7747 , 0.568623 , 0.999963 , 
3 , 161.45 , 1092.72 , 3.49059 , 10 , 63.6804 , 2.4875 , 10 , 45.3426 , 0.593588 , 1 , 
4 , 241.86 , 1059.93 , 2.42194 , 10 , 60.5566 , 3.14468 , 10 , 45.1222 , 0.605494 , 1 , 
5 , 321.37 , 1041.27 , 2.20614 , 10 , 58.6202 , 2.50599 , 10 , 45.2558 , 0.615296 , 0.999948 , 
6 , 400.81 , 1029.66 , 2.12299 , 10 , 57.15 , 2.12831 , 10 , 45.6031 , 0.621613 , 1 , 
7 , 479.83 , 1021.72 , 1.97904 , 10 , 55.9376 , 2.29759 , 10 , 46.0049 , 0.626426 , 0.999948 , 
8 , 558.94 , 1014.61 , 1.92903 , 10 , 54.8213 , 2.20957 , 10 , 46.4186 , 0.630074 , 1 , 
9 , 638.24 , 1009.95 , 1.92039 , 10 , 53.8616 , 2.11208 , 10 , 46.9219 , 0.635306 , 1 , 
10 , 717.54 , 1006.2 , 1.8443 , 10 , 52.9791 , 2.58476 , 10 , 47.3828 , 0.63739 , 1 , 
11 , 795.21 , 1003.42 , 1.84505 , 10 , 52.1975 , 2.55169 , 10 , 47.8892 , 0.639443 , 1 , 
12 , 871.9 , 1000.61 , 1.78207 , 10 , 51.4453 , 2.14855 , 10 , 48.4008 , 0.641028 , 1 , 
13 , 948.46 , 999.03 , 1.74902 , 10 , 50.7488 , 2.46798 , 10 , 48.9074 , 0.642737 , 0.999948 , 
14 , 1026.04 , 997.424 , 1.72246 , 10 , 50.0983 , 2.12218 , 10 , 49.4319 , 0.643158 , 1 , 
15 , 1103.15 , 996.358 , 1.66687 , 10 , 49.4533 , 2.29431 , 10 , 49.953 , 0.645288 , 1 , 
16 , 1181.33 , 995.235 , 1.64943 , 10 , 48.846 , 2.06717 , 10 , 50.4708 , 0.646101 , 1 , 
17 , 1260.62 , 994.843 , 1.60862 , 10 , 48.2906 , 2.80602 , 10 , 50.9131 , 0.646945 , 1 , 
18 , 1340.03 , 994.006 , 1.68702 , 10 , 47.7396 , 1.92498 , 10 , 51.4685 , 0.650147 , 1 , 
19 , 1420.2 , 994.166 , 1.60956 , 10 , 47.2159 , 2.09481 , 10 , 51.9912 , 0.65129 , 0.99996 , 
20 , 1501.86 , 993.938 , 1.58227 , 10 , 46.6978 , 1.94995 , 10 , 52.5009 , 0.651892 , 0.999921 , 
21 , 1582.65 , 994.254 , 1.54845 , 10 , 46.2083 , 1.85644 , 10 , 53.0314 , 0.652837 , 1 , 
22 , 1662.1 , 995.062 , 1.50501 , 10 , 45.7291 , 2.23476 , 10 , 53.5536 , 0.653681 , 1 , 
23 , 1742.81 , 995.625 , 1.53225 , 10 , 45.251 , 2.46637 , 10 , 54.0648 , 0.653512 , 1 , 
24 , 1823.07 , 996.204 , 1.49198 , 10 , 44.8084 , 2.26598 , 10 , 54.5853 , 0.654812 , 1 , 
25 , 1903.65 , 996.545 , 1.44966 , 10 , 44.3727 , 1.73117 , 10 , 55.1087 , 0.654737 , 0.999948 , 
26 , 1982.92 , 997.52 , 1.42956 , 10 , 43.9348 , 1.81294 , 10 , 55.6359 , 0.656507 , 0.999985 , 
27 , 2063.7 , 998.605 , 1.40079 , 10 , 43.5187 , 1.79929 , 10 , 56.1619 , 0.655998 , 1 , 
28 , 2144.29 , 999.745 , 1.39141 , 10 , 43.1194 , 1.76282 , 10 , 56.6788 , 0.65514 , 0.999948 , 
29 , 2225.05 , 1001.08 , 1.37259 , 10 , 42.7304 , 2.04827 , 10 , 57.1724 , 0.656108 , 1 , 
30 , 2305.8 , 1002.22 , 1.38568 , 10 , 42.3557 , 2.26677 , 10 , 57.6397 , 0.656782 , 1 , 
31 , 2387.07 , 1003.69 , 1.40039 , 10 , 42.0193 , 1.97911 , 10 , 58.1517 , 0.656834 , 1 , 
32 , 2467.33 , 1005.14 , 1.33977 , 10 , 41.6521 , 2.00053 , 10 , 58.6617 , 0.657044 , 1 , 
