iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.49131 , 0.493433 , 
2 , 16.47 , 1468.79 , 13.7413 , 10 , 37.7514 , 55.4079 , 10 , 103.587 , 0.659619 , 0.917436 , 
3 , 32.38 , 1386.17 , 17.796 , 10 , 45.0753 , 29.61 , 10 , 90.5802 , 0.697388 , 0.966552 , 
4 , 48.15 , 1312.64 , 13.8838 , 10 , 47.1512 , 21.9996 , 10 , 81.9133 , 0.707103 , 0.970566 , 
5 , 68.25 , 1259.04 , 13.4272 , 10 , 48.2326 , 18.3368 , 10 , 75.8374 , 0.707781 , 0.969934 , 
6 , 86.43 , 1236.7 , 13.1567 , 10 , 49.0657 , 17.2885 , 10 , 72.8753 , 0.708739 , 0.970526 , 
7 , 105.28 , 1215.89 , 13.1457 , 10 , 49.4273 , 15.678 , 10 , 70.5943 , 0.718391 , 0.969102 , 
8 , 123.29 , 1198.54 , 13.1928 , 10 , 50.0101 , 14.6686 , 10 , 68.3776 , 0.718641 , 0.973757 , 
9 , 143.38 , 1183.79 , 13.0073 , 10 , 50.8162 , 14.5115 , 10 , 66.1115 , 0.72321 , 0.963976 , 
10 , 161.17 , 1175.22 , 13.0568 , 10 , 51.7865 , 14.6929 , 10 , 64.266 , 0.715202 , 0.975242 , 
11 , 175.28 , 1172.8 , 12.8703 , 10 , 52.6342 , 18.9321 , 10 , 62.7525 , 0.720615 , 0.978049 , 
12 , 190.81 , 1162.95 , 12.7485 , 10 , 53.4714 , 14.0116 , 10 , 61.4223 , 0.72141 , 0.975434 , 
13 , 203.39 , 1158.66 , 12.6679 , 10 , 54.5268 , 14.8259 , 10 , 59.8563 , 0.718514 , 0.973829 , 
14 , 214.06 , 1168.22 , 12.7321 , 10 , 55.6104 , 20.4412 , 10 , 59.1676 , 0.718151 , 0.976979 , 
15 , 229.39 , 1161.23 , 12.598 , 10 , 56.367 , 13.5712 , 10 , 58.3988 , 0.719194 , 0.968313 , 
16 , 258.51 , 1170.73 , 13.4486 , 10 , 57.7574 , 15.5987 , 10 , 57.7562 , 0.710445 , 0.971054 , 
17 , 275.16 , 1165.37 , 13.3838 , 10 , 57.5893 , 13.0882 , 10 , 57.6391 , 0.714962 , 0.974926 , 
18 , 289.63 , 1164.99 , 13.3447 , 10 , 57.8248 , 13.3572 , 10 , 57.3385 , 0.714013 , 0.972089 , 
19 , 311.3 , 1166.49 , 13.3374 , 10 , 58.3289 , 13.2353 , 10 , 56.9965 , 0.714713 , 0.97556 , 
20 , 328.05 , 1166.74 , 13.4362 , 10 , 58.4815 , 13.9095 , 10 , 56.8015 , 0.710687 , 0.973219 , 
21 , 345.17 , 1166.47 , 13.4805 , 10 , 58.6697 , 13.0837 , 10 , 56.6686 , 0.711403 , 0.97822 , 
22 , 360.48 , 1167.75 , 13.615 , 10 , 58.8012 , 13.3515 , 10 , 56.6386 , 0.711634 , 0.967854 , 
23 , 378.42 , 1166.91 , 13.6149 , 10 , 58.8128 , 13.4028 , 10 , 56.5377 , 0.708634 , 0.97411 , 
24 , 399.16 , 1166.63 , 13.4364 , 10 , 58.9816 , 13.0942 , 10 , 56.372 , 0.709556 , 0.975915 , 
25 , 416.2 , 1168.23 , 13.7382 , 10 , 59.0936 , 13.3666 , 10 , 56.3929 , 0.715405 , 0.970332 , 
26 , 436.85 , 1168.54 , 13.8514 , 10 , 58.7753 , 13.0953 , 10 , 56.7687 , 0.708422 , 0.973121 , 
27 , 452.03 , 1167.11 , 13.7145 , 10 , 58.3345 , 12.9554 , 10 , 57.0811 , 0.709199 , 0.97266 , 
28 , 469.89 , 1167.32 , 13.7732 , 10 , 57.9291 , 12.9308 , 10 , 57.5098 , 0.707126 , 0.974754 , 
29 , 487.13 , 1167.03 , 14.1699 , 10 , 57.3049 , 13.0816 , 10 , 58.0903 , 0.709106 , 0.973545 , 
30 , 504.54 , 1163.28 , 14.0745 , 10 , 56.9143 , 13.8258 , 10 , 58.0308 , 0.709459 , 0.971757 , 
31 , 525.33 , 1165.4 , 13.7116 , 10 , 57.4744 , 13.3912 , 10 , 57.7268 , 0.711525 , 0.974651 , 
32 , 542.55 , 1167.84 , 13.689 , 10 , 57.5895 , 14.794 , 10 , 57.7149 , 0.707736 , 0.9725 , 
