iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.49922 , 0.62827 , 
2 , 2555.91 , 1090.33 , 0.526183 , 10 , 63.0447 , 0.607687 , 10 , 45.9271 , 0.530861 , 0.846274 , 
3 , 4421.18 , 933.993 , 0.604173 , 10 , 47.0512 , 0.596318 , 10 , 46.2885 , 0.57106 , 0.704584 , 
4 , 6104.2 , 938.398 , 0.588897 , 10 , 46.543 , 0.597044 , 10 , 47.2371 , 0.605818 , 0.691419 , 
5 , 8133.67 , 901.555 , 0.591974 , 10 , 44.7402 , 0.599789 , 10 , 45.3553 , 0.588703 , 0.68759 , 
6 , 9983.7 , 922.68 , 0.591265 , 10 , 45.82 , 0.596325 , 10 , 46.3884 , 0.583935 , 0.689044 , 
7 , 11663.5 , 915.375 , 0.591089 , 10 , 44.9508 , 0.619479 , 10 , 46.5247 , 0.589795 , 0.680343 , 
8 , 13878.7 , 884.902 , 0.603983 , 10 , 43.74 , 0.604731 , 10 , 44.6897 , 0.611261 , 0.693259 , 
9 , 15557.9 , 944.178 , 0.59064 , 10 , 45.3993 , 0.616222 , 10 , 48.9569 , 0.558891 , 0.679506 , 
10 , 17760.3 , 857.821 , 0.606473 , 10 , 42.4416 , 0.603272 , 10 , 43.2802 , 0.569467 , 0.697035 , 
11 , 19408.3 , 965.665 , 0.590884 , 10 , 46.1769 , 0.626299 , 10 , 50.327 , 0.59755 , 0.681499 , 
