iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.497126 , 0.825339 , 
2 , 6253.86 , 9722.53 , 1.61583 , 10 , 536.225 , 4.39516 , 10 , 435.589 , 0.517087 , 0.98136 , 
3 , 12494.8 , 10120.4 , 2.51594 , 10 , 528.979 , 4.05543 , 10 , 482.658 , 0.539489 , 0.98839 , 
4 , 18903.3 , 9844.97 , 1.17872 , 10 , 506.484 , 2.48941 , 10 , 477.764 , 0.607592 , 0.992286 , 
5 , 25460.7 , 9834.82 , 1.21192 , 10 , 496.321 , 1.1667 , 10 , 487.045 , 0.619088 , 0.994911 , 
6 , 31347.6 , 9691.84 , 1.03101 , 10 , 492.88 , 1.36178 , 10 , 476.168 , 0.638741 , 0.995176 , 
7 , 36209.6 , 9811.71 , 1.13698 , 10 , 493.058 , 1.12304 , 10 , 488 , 0.679101 , 0.99577 , 
8 , 39653.4 , 9628.43 , 0.994002 , 10 , 487.159 , 1.69054 , 10 , 475.515 , 0.688899 , 0.995482 , 
9 , 45948.4 , 9755.16 , 1.20484 , 10 , 487.964 , 1.28473 , 10 , 487.424 , 0.690816 , 0.99606 , 
10 , 49469.9 , 9598.93 , 0.997489 , 10 , 484.669 , 1.43161 , 10 , 475.081 , 0.698588 , 0.994999 , 
11 , 55698.8 , 9724.94 , 1.17866 , 10 , 488.33 , 1.03904 , 10 , 484.06 , 0.689787 , 0.996128 , 
12 , 58999.7 , 9640.87 , 1.01348 , 10 , 485.752 , 1.70194 , 10 , 478.165 , 0.673952 , 0.993466 , 
13 , 65283.8 , 9704.27 , 1.12681 , 10 , 487.098 , 1.11175 , 10 , 483.218 , 0.676833 , 0.995974 , 
14 , 70022.9 , 9639.16 , 1.03743 , 10 , 485.702 , 1.49094 , 10 , 478.065 , 0.688027 , 0.995613 , 
15 , 74634.5 , 9700.87 , 1.07509 , 10 , 487.375 , 1.2692 , 10 , 482.585 , 0.704258 , 0.995812 , 
16 , 80900.9 , 9648.56 , 1.04372 , 10 , 485.19 , 1.21232 , 10 , 479.546 , 0.705023 , 0.996069 , 
17 , 84474.7 , 9686.25 , 1.06885 , 10 , 486.066 , 1.3675 , 10 , 482.423 , 0.707495 , 0.995324 , 
18 , 90697.4 , 9655.73 , 1.05299 , 10 , 485.81 , 1.13356 , 10 , 479.65 , 0.705191 , 0.996128 , 
19 , 95061.6 , 9679.24 , 1.0742 , 10 , 485.609 , 1.13022 , 10 , 482.202 , 0.696279 , 0.99572 , 
20 , 97788.6 , 9677.32 , 1.05045 , 10 , 484.615 , 2.61266 , 10 , 482.855 , 0.706233 , 0.995514 , 
21 , 104145 , 9675.65 , 1.14336 , 10 , 483.11 , 1.18469 , 10 , 484.336 , 0.698403 , 0.995694 , 
22 , 109494 , 9637.74 , 1.04974 , 10 , 483.308 , 1.30079 , 10 , 480.336 , 0.705263 , 0.995507 , 
23 , 112443 , 9692.03 , 1.04907 , 10 , 484.898 , 1.47718 , 10 , 484.157 , 0.676147 , 0.993221 , 
24 , 118718 , 9665.76 , 1.05898 , 10 , 484.595 , 1.3019 , 10 , 481.85 , 0.676055 , 0.995846 , 
25 , 123425 , 9669.83 , 1.10251 , 10 , 483.98 , 1.55126 , 10 , 482.848 , 0.690661 , 0.995784 , 
26 , 127202 , 9653.54 , 1.03923 , 10 , 483.892 , 1.95364 , 10 , 481.267 , 0.70505 , 0.995982 , 
27 , 133410 , 9662.15 , 1.08289 , 10 , 483.976 , 1.33211 , 10 , 482.106 , 0.705751 , 0.995722 , 
28 , 136917 , 9641.97 , 1.05204 , 10 , 484.236 , 2.11722 , 10 , 479.749 , 0.697753 , 0.994717 , 
29 , 143645 , 9688.75 , 1.09384 , 10 , 486.233 , 1.46764 , 10 , 482.495 , 0.704206 , 0.995927 , 
30 , 150138 , 9661.72 , 1.08258 , 10 , 483.789 , 1.20865 , 10 , 482.263 , 0.700181 , 0.99549 , 
31 , 153073 , 9687.08 , 1.04592 , 10 , 482.666 , 1.26736 , 10 , 485.916 , 0.686477 , 0.99352 , 
32 , 159509 , 9663.28 , 1.10803 , 10 , 482.334 , 1.22979 , 10 , 483.871 , 0.691512 , 0.995348 , 
